Env,Rep,Genotype,Expected_Mean,Yield
1,1,Florman,0.8,1.2157894247
1,1,Tegua,0.96,1.2859084661
1,1,manf393,1.24,1.6443362984
1,1,mf447,0.95,1.0126412999
1,1,mf478,1.37,1.838475684
1,1,mf480,1.41,1.3977285752
1,1,mf484,1.16,1.0061639473
1,1,mf485,1.12,1.6986857308
1,1,mf487,0.87,0.4777973282
1,1,mf489,1.11,1.100097639
1,2,Florman,0.8,0.4412304573
1,2,Tegua,0.96,0.8346266062
1,2,manf393,1.24,1.1365131797
1,2,mf447,0.95,1.0797430897
1,2,mf478,1.37,1.7312985516
1,2,mf480,1.41,1.9732573675
1,2,mf484,1.16,1.0449775578
1,2,mf485,1.12,1.2593721123
1,2,mf487,0.87,0.8350719697
1,2,mf489,1.11,1.2300120444
1,3,Florman,0.8,0.4607154204
1,3,Tegua,0.96,0.9430784678
1,3,manf393,1.24,1.6530635422
1,3,mf447,0.95,1.4602013549
1,3,mf478,1.37,1.4245217164
1,3,mf480,1.41,2.1373335502
1,3,mf484,1.16,1.6296820822
1,3,mf485,1.12,1.8707998994
1,3,mf487,0.87,1.2456566058
1,3,mf489,1.11,1.351575607
2,1,Florman,2.17,1.7228827674
2,1,Tegua,2.04,1.376601662
2,1,manf393,1.57,1.9615575869
2,1,mf447,1.29,1.1289401172
2,1,mf478,2.15,1.7562661139
2,1,mf480,3.27,3.1206967889
2,1,mf484,1.08,1.3028533431
2,1,mf485,0.58,0.878645998
2,1,mf487,1.52,1.8984039176
2,1,mf489,0.86,0.523410235
2,2,Florman,2.17,1.620981609
2,2,Tegua,2.04,2.0307409755
2,2,manf393,1.57,1.4384616601
2,2,mf447,1.29,1.4060402138
2,2,mf478,2.15,2.7826559488
2,2,mf480,3.27,3.683106678
2,2,mf484,1.08,1.238080439
2,2,mf485,0.58,0.3577283137
2,2,mf487,1.52,1.9389210815
2,2,mf489,0.86,1.1382441075
2,3,Florman,2.17,2.486361506
2,3,Tegua,2.04,2.2048725292
2,3,manf393,1.57,1.8217285419
2,3,mf447,1.29,1.7304148263
2,3,mf478,2.15,2.1410811441
2,3,mf480,3.27,3.1066881556
2,3,mf484,1.08,1.6784471966
2,3,mf485,0.58,0.3665579668
2,3,mf487,1.52,1.8400501579
2,3,mf489,0.86,0.7056648378
3,1,Florman,2.43,2.5116773043
3,1,Tegua,2.58,2.3642181004
3,1,manf393,2.47,2.9335757204
3,1,mf447,2.34,2.0296993889
3,1,mf478,2.19,2.1571235547
3,1,mf480,2.19,2.2048062055
