Variety,Env,Rep,Yield
A,e1,1,63.6
A,e1,2,64.3
A,e1,3,54.2
A,e2,1,72.8
A,e2,2,68.7
A,e2,3,70.8
A,e3,1,70.4
A,e3,2,63.4
A,e3,3,79.9
A,e4,1,76.3
A,e4,2,89.5
A,e4,3,80.5
A,e5,1,46.1
A,e5,2,43.8
A,e5,3,44.3
A,e6,1,40.2
A,e6,2,36.6
A,e6,3,42.9
B,e1,1,77.9
B,e1,2,76.2
B,e1,3,90.7
B,e2,1,60
B,e2,2,65.7
B,e2,3,68.5
B,e3,1,87.1
B,e3,2,83.6
B,e3,3,86.7
B,e4,1,80.4
B,e4,2,81.9
B,e4,3,79.3
B,e5,1,35.7
B,e5,2,48.6
B,e5,3,36.6
B,e6,1,38.5
B,e6,2,37.6
B,e6,3,36.5
C,e1,1,24.1
C,e1,2,27
C,e1,3,27.7
C,e2,1,27.3
C,e2,2,36.4
C,e2,3,45.3
C,e3,1,27.1
C,e3,2,39.4
C,e3,3,36.8
C,e4,1,30.1
C,e4,2,31.3
C,e4,3,38.8
C,e5,1,20.9
C,e5,2,31.8
C,e5,3,29
C,e6,1,31
C,e6,2,37.6
C,e6,3,29.5
D,e1,1,59.4
D,e1,2,51.4
D,e1,3,65.4
D,e2,1,41.3
D,e2,2,42.6
D,e2,3,33.7
D,e3,1,51.9
D,e3,2,42.3
D,e3,3,46.7
D,e4,1,45
D,e4,2,50
D,e4,3,50.6
D,e5,1,47
D,e5,2,51.6
D,e5,3,51.5
D,e6,1,43.6
D,e6,2,49.3
D,e6,3,36.4
E,e1,1,51.2
E,e1,2,48.3
E,e1,3,41.6
E,e2,1,51.5
E,e2,2,46.5
E,e2,3,51.2
E,e3,1,54
E,e3,2,45.5
E,e3,3,55.2
E,e4,1,54.8
E,e4,2,47.5
E,e4,3,37.5
E,e5,1,43.2
E,e5,2,44.1
E,e5,3,41.1
E,e6,1,45
E,e6,2,39
E,e6,3,29.8
F,e1,1,27.9
F,e1,2,19.4
F,e1,3,31.1
F,e2,1,31.5
F,e2,2,24.8
F,e2,3,21
F,e3,1,19.8
F,e3,2,32.1
F,e3,3,16.1
F,e4,1,30.1
F,e4,2,33.4
F,e4,3,19.2
F,e5,1,45
F,e5,2,41.5
F,e5,3,51.7
F,e6,1,50.9
F,e6,2,50.1
F,e6,3,48.1
G,e1,1,21.7
G,e1,2,33
G,e1,3,36.4
G,e2,1,33.7
G,e2,2,39.7
G,e2,3,28.4
G,e3,1,40.7
G,e3,2,38.2
G,e3,3,36.1
G,e4,1,38.3
G,e4,2,30.6
G,e4,3,25.4
G,e5,1,44.4
G,e5,2,36.3
G,e5,3,43.1
G,e6,1,45.2
G,e6,2,46.2
G,e6,3,43
