plot,entry,rep,year,loc,par1,par2,lodge,height,earht,standpcnt,buyield,kgyield
,,,,,,,,,,,,
1001,1,1,1998,ColumMO,1,2,63,,1.4,100,90.8,5697
1002,2,1,1998,ColumMO,1,3,32,,1.36,96.1,69.9,4386
1003,3,1,1998,ColumMO,1,4,74,,1.45,90.4,59.5,3732
1004,4,1,1998,ColumMO,1,5,82,,1.42,94.2,60.4,3792
1005,5,1,1998,ColumMO,2,3,69,,1.44,92.3,67.2,4214
1006,6,1,1998,ColumMO,2,4,55,,1.38,94.2,100.3,6291
1007,7,1,1998,ColumMO,2,5,71,,1.33,86.5,79,4955
1008,8,1,1998,ColumMO,3,4,52,,1.66,84.6,73,4578
1009,9,1,1998,ColumMO,3,5,55,,1.48,94.2,56.8,3562
1010,10,1,1998,ColumMO,4,5,44,,1.62,96.1,68.9,4322
1022,22,1,1998,ColumMO,1,1,17,,0.95,100,104,6523
1023,23,1,1998,ColumMO,2,2,40,,1.22,90.4,65.4,4102
1024,24,1,1998,ColumMO,3,3,21,,1.46,98.1,59.4,3728
1025,25,1,1998,ColumMO,4,4,39,,1.21,88.5,77.1,4835
1026,26,1,1998,ColumMO,5,5,10,,1.15,98.1,82.3,5163
2007,1,2,1998,ColumMO,1,2,45,,1.3,90.4,89.4,5610
2008,2,2,1998,ColumMO,1,3,33,,1.36,98.1,112,7027
2006,3,2,1998,ColumMO,1,4,44,,1.5,96.1,115,7213
2021,4,2,1998,ColumMO,1,5,27,,1.15,100,126,7902
2016,5,2,1998,ColumMO,2,3,57,,1.27,76.9,83.9,5259
2015,6,2,1998,ColumMO,2,4,50,,1.25,84.6,94.7,5940
2017,7,2,1998,ColumMO,2,5,59,,1.37,88.5,75.5,4734
2018,8,2,1998,ColumMO,3,4,46,,1.55,82.7,104.2,6535
2009,9,2,1998,ColumMO,3,5,20,,1.24,94.2,79.7,5000
2002,10,2,1998,ColumMO,4,5,37,,1.48,82.7,83.4,5232
2025,22,2,1998,ColumMO,1,1,15,,0.94,100,114.7,7194
2022,23,2,1998,ColumMO,2,2,40,,1.22,100,41.2,2587
2026,24,2,1998,ColumMO,3,3,33,,1.27,100,72.9,4573
2024,25,2,1998,ColumMO,4,4,27,,1.16,86.5,62.9,3944
2023,26,2,1998,ColumMO,5,5,24,,1.13,88.5,89.6,5623
3006,1,3,1998,ColumMO,1,2,19,,1.26,100,123.3,7731
3007,2,3,1998,ColumMO,1,3,15,,1.23,100,80.7,5061
3019,3,3,1998,ColumMO,1,4,6,,1.4,98.1,113.7,7132
3010,4,3,1998,ColumMO,1,5,10,,1.33,98.1,89.6,5618
3017,5,3,1998,ColumMO,2,3,4,,1.3,92.3,86.5,5425
3005,6,3,1998,ColumMO,2,4,33,,1.32,100,89,5583
3009,7,3,1998,ColumMO,2,5,13,,1.15,100,104,6526
3020,8,3,1998,ColumMO,3,4,28,,1.39,90.4,124,7779
3016,9,3,1998,ColumMO,3,5,8,,1.36,96.1,134.7,8446
3003,10,3,1998,ColumMO,4,5,34,,1.42,96.1,87.9,5511
3022,22,3,1998,ColumMO,1,1,21,,1.13,100,79.5,4985
3026,23,3,1998,ColumMO,2,2,18,,1.17,96.2,66,4142
3023,24,3,1998,ColumMO,3,3,34,,1.24,96.2,63.8,3999
3024,25,3,1998,ColumMO,4,4,22,,1.22,94.2,117.8,7388
3025,26,3,1998,ColumMO,5,5,49,,1.13,98.1,61.6,3866
108,1,1,1998,KnoxTN,1,2,15.6,1.98,1.12,94,121.2,7604
207,2,1,1998,KnoxTN,1,3,16.4,2.37,1.31,99,132.4,8303
106,3,1,1998,KnoxTN,1,4,6,2.22,1.31,99,141.5,8871
109,4,1,1998,KnoxTN,1,5,7.5,2.16,1.28,99,139.1,8722
204,5,1,1998,KnoxTN,2,3,7.1,2.49,1.28,103,113.7,7131
101,6,1,1998,KnoxTN,2,4,13.4,2.31,1.34,99,138.3,8673
301,7,1,1998,KnoxTN,2,5,19,2.43,1.28,93,127.5,7997
103,8,1,1998,KnoxTN,3,4,3.2,2.46,1.46,91,128.5,8058
205,9,1,1998,KnoxTN,3,5,15.7,2.68,1.49,103,97.4,6110
208,10,1,1998,KnoxTN,4,5,6.5,2.68,1.4,91,144.2,9041
709,22,1,1998,KnoxTN,1,1,4.8,2.13,1.16,93,61.1,3830
706,23,1,1998,KnoxTN,2,2,0,2.19,1.12,97,63.6,3986
707,24,1,1998,KnoxTN,3,3,24.6,2.28,1.22,90,95.9,6017
708,25,1,1998,KnoxTN,4,4,4.4,2.31,1.25,100,99.2,6219
705,26,1,1998,KnoxTN,5,5,4.8,2.31,1.16,93,78.1,4896
502,1,2,1998,KnoxTN,1,2,6,2.1,1.12,99,111,6959
307,2,2,1998,KnoxTN,1,3,14.9,2.43,1.37,99,93.3,5848
305,3,2,1998,KnoxTN,1,4,20.6,2.34,1.37,100,86.8,5444
404,4,2,1998,KnoxTN,1,5,5.5,1.95,1.16,107,87.9,5514
405,5,2,1998,KnoxTN,2,3,9.4,2.34,1.28,94,55,3452
409,6,2,1998,KnoxTN,2,4,6.5,2.34,1.34,91,57.7,3621
406,7,2,1998,KnoxTN,2,5,6.3,2.28,1.25,93,87.8,5505
306,8,2,1998,KnoxTN,3,4,8.1,2.61,1.49,91,111.1,6969
304,9,2,1998,KnoxTN,3,5,6.1,2.49,1.31,97,105.2,6596
503,10,2,1998,KnoxTN,4,5,9.2,2.25,1.37,96,113.4,7115
805,22,2,1998,KnoxTN,1,1,4.7,1.92,1,94,51.8,3246
809,23,2,1998,KnoxTN,2,2,2.4,2.22,1.19,62,59.6,3740
808,24,2,1998,KnoxTN,3,3,8.5,2.22,1.19,87,69.6,4362
807,25,2,1998,KnoxTN,4,4,15.4,2.25,1.16,96,97.3,6104
806,26,2,1998,KnoxTN,5,5,9,2.16,1.19,99,91.7,5749
606,1,3,1998,KnoxTN,1,2,10.6,2.4,1.28,97,111.6,6997
803,2,3,1998,KnoxTN,1,3,11.9,2.25,1.22,99,69.4,4355
904,3,3,1998,KnoxTN,1,4,8.1,2.1,1.09,109,109.5,6866
607,4,3,1998,KnoxTN,1,5,19.4,2.34,1.28,99,130.6,8190
902,5,3,1998,KnoxTN,2,3,7.4,2.01,1.12,100,75,4704
801,6,3,1998,KnoxTN,2,4,20,2.25,1.22,96,115,7210
703,7,3,1998,KnoxTN,2,5,1.5,2.45,1.25,96,96.4,6043
601,8,3,1998,KnoxTN,3,4,29.4,2.49,1.4,100,124.7,7820
608,9,3,1998,KnoxTN,3,5,6.8,2.37,1.22,107,126.2,7918
609,10,3,1998,KnoxTN,4,5,14.9,2.31,1.28,99,138.9,8710
907,22,3,1998,KnoxTN,1,1,7.5,1.85,1.03,99,91.7,5748
909,23,3,1998,KnoxTN,2,2,1.5,2.01,1.12,99,73,4578
905,24,3,1998,KnoxTN,3,3,18.6,2.13,1.19,87,65.6,4115
908,25,3,1998,KnoxTN,4,4,4.8,2.01,1.12,93,74.7,4683
906,26,3,1998,KnoxTN,5,5,11.8,2.1,1.12,100,87.6,5494
732,1,1,1999,KnoxTN,1,2,31.7,1.9,0.88,93,83,5208
823,2,1,1999,KnoxTN,1,3,5.4,2,0.94,84,67.6,4239
825,3,1,1999,KnoxTN,1,4,15.5,2,0.94,102,92.5,5799
829,4,1,1999,KnoxTN,1,5,48.7,1.9,0.88,88,101.7,6379
831,5,1,1999,KnoxTN,2,3,20.6,1.9,0.97,131,72.5,4548
731,6,1,1999,KnoxTN,2,4,41.3,2.1,1.03,104,97.4,6108
729,7,1,1999,KnoxTN,2,5,43.4,2,0.97,104,96.1,6026
723,8,1,1999,KnoxTN,3,4,92.8,2.2,1.06,63,76.4,4790
722,9,1,1999,KnoxTN,3,5,59.4,2.1,1.09,84,103.1,6466
726,10,1,1999,KnoxTN,4,5,38.4,2.2,1,88,92.9,5825
1034,22,1,1999,KnoxTN,1,1,34,1.9,0.91,100,66.2,4152
1035,23,1,1999,KnoxTN,2,2,13.3,1.8,0.85,102,54.8,3438
1037,24,1,1999,KnoxTN,3,3,51.7,1.7,0.76,65,58.7,3681
1036,25,1,1999,KnoxTN,4,4,20,1.9,0.91,56,46.8,2937
1038,26,1,1999,KnoxTN,5,5,35.1,1.9,0.88,84,63,3953
1027,1,2,1999,KnoxTN,1,2,40.6,2,0.94,72,70.1,4396
1032,2,2,1999,KnoxTN,1,3,47.3,1.9,0.91,86,53.1,3329
924,3,2,1999,KnoxTN,1,4,43.2,2,0.94,84,96.9,6077
1022,4,2,1999,KnoxTN,1,5,29.4,2,0.88,77,82.4,5171
930,5,2,1999,KnoxTN,2,3,30.7,2,1,88,82.1,5147
929,6,2,1999,KnoxTN,2,4,44.7,2,0.94,86,95.7,5999
1023,7,2,1999,KnoxTN,2,5,41.6,2.1,0.97,81,87.1,5463
1024,8,2,1999,KnoxTN,3,4,60.8,2.2,1.06,52,55.8,3502
1030,9,2,1999,KnoxTN,3,5,44.7,2.2,1.03,86,79.2,4966
1028,10,2,1999,KnoxTN,4,5,86.2,2.2,1.09,65,45.6,2858
1043,22,2,1999,KnoxTN,1,1,25,1.9,0.88,109,59,3703
1039,23,2,1999,KnoxTN,2,2,23.6,1.8,0.88,86,45.8,2873
1041,24,2,1999,KnoxTN,3,3,37.5,1.9,0.91,90,63.2,3963
1040,25,2,1999,KnoxTN,4,4,16.1,2,1,70,59.5,3729
1042,26,2,1999,KnoxTN,5,5,39,2,0.91,93,75.1,4707
937,1,3,1999,KnoxTN,1,2,15.5,1.9,0.85,102,76.1,4770
735,2,3,1999,KnoxTN,1,3,39.5,2,0.85,97,76.6,4801
834,3,3,1999,KnoxTN,1,4,58.3,2,1,109,75.6,4741
832,4,3,1999,KnoxTN,1,5,44.7,1.9,0.94,86,71.6,4488
738,5,3,1999,KnoxTN,2,3,28.2,1.9,0.88,88,66.2,4152
