Rep,Row,Col,Genotype,Yield
1,1,1,1,42.83
1,1,2,2,48.04
1,1,3,3,50.92
1,1,4,4,46.14
1,1,5,5,48.29
1,2,1,6,56.27
1,2,2,7,40.33
1,2,3,8,51.37
1,2,4,9,57.76
1,2,5,10,54.01
1,3,1,11,40.77
1,3,2,12,38.81
1,3,3,13,48.61
1,3,4,14,41.05
1,3,5,15,43.92
1,4,1,16,46.22
1,4,2,17,51.42
1,4,3,18,59.34
1,4,4,19,52.98
1,4,5,20,47.75
1,5,1,21,49.17
1,5,2,22,46.53
1,5,3,23,41.38
1,5,4,24,51.3
1,5,5,25,39.34
2,6,6,1,52.11
2,6,7,10,56.31
2,6,8,14,55.98
2,6,9,18,67.28
2,6,10,22,66.03
2,7,6,23,37.86
2,7,7,2,53.51
2,7,8,6,49.23
2,7,9,15,49.14
2,7,10,19,54.87
2,8,6,20,51.72
2,8,7,24,57.26
2,8,8,3,50.65
2,8,9,7,43.5
2,8,10,11,51.24
2,9,6,12,53.85
2,9,7,16,55.47
2,9,8,25,45.7
2,9,9,4,49.87
2,9,10,8,56.44
2,10,6,9,65.02
2,10,7,13,67.9
2,10,8,17,70.2
2,10,9,21,69.79
2,10,10,5,63.06
3,11,11,1,38.15
3,11,12,8,41.83
3,11,13,15,46.04
3,11,14,17,53.59
3,11,15,24,47.89
3,12,11,25,37.26
3,12,12,2,50.37
3,12,13,9,55.84
3,12,14,11,42.9
3,12,15,18,57.87
3,13,11,19,50.44
3,13,12,21,46.84
3,13,13,3,55.45
3,13,14,10,47.81
3,13,15,12,45.41
3,14,11,13,45.01
3,14,12,20,40.81
3,14,13,22,54.92
3,14,14,4,36.56
3,14,15,6,53.39
3,15,11,7,34.01
3,15,12,14,44.09
3,15,13,16,52.63
3,15,14,23,42.95
3,15,15,5,44.78
