Family,Year,Loc,Rep,Total_Yield
1,1,1,1,729.43209109
1,1,1,2,372.26837187
1,1,2,1,688.18675799
1,1,2,2,562.48636216
1,2,1,1,599.36853058
1,2,1,2,655.81850756
1,2,2,1,424.13895649
1,2,2,2,427.9467931
2,1,1,1,511.81115679
2,1,1,2,596.99418069
2,1,2,1,800.28807863
2,1,2,2,369.54762018
2,2,1,1,562.18363619
2,2,1,2,665.59931701
2,2,2,1,540.71025866
2,2,2,2,603.7960557
3,1,1,1,347.39117798
3,1,1,2,267.82717885
3,1,2,1,650.4849717
3,1,2,2,679.82576424
3,2,1,1,682.86855144
3,2,1,2,479.57545384
3,2,2,1,474.81145473
3,2,2,2,656.02947935
4,1,1,1,426.23719516
4,1,1,2,374.48592167
4,1,2,1,329.24691382
4,1,2,2,519.29594192
4,2,1,1,617.96608797
4,2,1,2,490.11654451
4,2,2,1,545.26782188
4,2,2,2,246.59562008
5,1,1,1,433.21184538
5,1,1,2,376.41481923
5,1,2,1,501.42396631
5,1,2,2,391.99672907
5,2,1,1,424.74616445
5,2,1,2,251.50242164
5,2,2,1,738.87863941
5,2,2,2,454.19036004
6,1,1,1,595.65256878
6,1,1,2,560.1260019
6,1,2,1,592.41453024
6,1,2,2,558.22527821
6,2,1,1,459.44588509
6,2,1,2,478.54544651
6,2,2,1,230.55973267
6,2,2,2,146.94125923
7,1,1,1,449.90761719
7,1,1,2,666.65564113
7,1,2,1,469.29310575
7,1,2,2,505.17483891
7,2,1,1,483.06555805
7,2,1,2,517.77317909
7,2,2,1,558.57958
7,2,2,2,391.69460162
8,1,1,1,721.4144082
8,1,1,2,675.79681666
8,1,2,1,570.31959372
8,1,2,2,442.66584159
8,2,1,1,580.59970563
8,2,1,2,340.35392663
8,2,2,1,415.23990554
8,2,2,2,454.29444033
9,1,1,1,744.41021807
9,1,1,2,383.07020936
9,1,2,1,480.27572618
9,1,2,2,628.12973136
9,2,1,1,713.9582507
9,2,1,2,598.06428037
9,2,2,1,502.18992469
9,2,2,2,599.11597482
10,1,1,1,460.68431249
10,1,1,2,535.57967745
10,1,2,1,679.91831099
10,1,2,2,535.87640784
10,2,1,1,656.8147107
10,2,1,2,579.17092377
10,2,2,1,414.52730468
10,2,2,2,447.58822772
11,1,1,1,348.02237535
11,1,1,2,720.96629226
11,1,2,1,493.05838419
11,1,2,2,353.34263606
11,2,1,1,653.56378069
11,2,1,2,616.85910089
11,2,2,1,321.4118818
11,2,2,2,576.75997015
12,1,1,1,500.876636
12,1,1,2,495.71592439
12,1,2,1,427.293321
12,1,2,2,371.45903323
12,2,1,1,565.22229951
12,2,1,2,491.64784318
12,2,2,1,478.36786115
12,2,2,2,715.19339205
13,1,1,1,504.75124268
13,1,1,2,616.22694593
13,1,2,1,213.86611776
13,1,2,2,355.85626185
13,2,1,1,338.24542314
13,2,1,2,382.64956382
13,2,2,1,430.17125421
13,2,2,2,223.85815269
14,1,1,1,813.49337473
14,1,1,2,474.66603655
14,1,2,1,606.44519579
14,1,2,2,494.18443637
14,2,1,1,330.86310778
14,2,1,2,476.85321664
14,2,2,1,388.6331272
14,2,2,2,403.77913951
15,1,1,1,455.49536544
15,1,1,2,656.3822026
15,1,2,1,468.22290706
