Name,Type,MaxRepBlock,MaxPlotLoc,SeedAvail
Castron,Check,2,10,NA
Check_1,Check,2,10,NA
Check_2,Check,2,10,NA
Line1,Line,1,2,6
Line2,Line,1,2,6
Line3,Line,1,2,6
Line4,Line,1,2,6
Line5,Line,1,2,6
Line6,Line,1,2,6
Line7,Line,1,2,6
Line8,Line,1,2,6
Line9,Line,1,2,6
Line10,Line,1,2,6
Line11,Line,1,1,3
Line12,Line,1,1,3
Line13,Line,1,1,3
Line14,Line,1,1,3
Line15,Line,1,1,3
Line16,Line,1,1,3
Line17,Line,1,1,3
Line18,Line,1,1,3
Line19,Line,1,1,3
Line20,Line,1,1,3
Line21,Line,1,1,3
Line22,Line,1,1,3
Line23,Line,1,1,3
Line24,Line,1,1,3
Line25,Line,1,1,3
Line26,Line,1,1,3
Line27,Line,1,1,3
Line28,Line,1,1,3
Line29,Line,1,1,3
Line30,Line,1,1,2
Line31,Line,1,1,2
Line32,Line,1,1,2
Line33,Line,1,1,2
Line34,Line,1,1,2
Line35,Line,1,1,2
Line36,Line,1,1,1
Line37,Line,1,1,1
Line38,Line,1,1,1
Line39,Line,1,1,1
Line40,Line,1,1,1
