Name+G5:I414,Parent1,Parent2
74-6-77,*,*
Antonovka,*,*
BeautBath,*,*
BenDavis,*,*
BlushiGol,*,*
Braeburn,*,*
CoromandelRed,*,*
Cox,*,*
Delicious,*,*
Dolgo,*,*
DuchOlden,*,*
dummy1,*,*
dummy2,*,*
dummy3,*,*
dummy4,*,*
dummy6,*,*
Edgewood,*,*
EsopSpitz,*,*
F_Beacon,*,*
F_GingerGold,*,*
F_Goodland,*,*
F_Honeycrisp,*,*
F_Ill#2,*,*
F_IngMarie,*,*
F_JamesGr,*,*
F_Linda,*,*
F_MN1760,*,*
F_MN1764,*,*
F_NJ15,*,*
F_PattenGr,*,*
F_Spartan,*,*
F_Tsugaru,*,*
F_Williams,*,*
F_WSU3,*,*
Frostbite,*,*
GoldenDel,*,*
GranSmith,*,*
Hudson,*,*
JerseyBla,*,*
Jongrimes,*,*
Kildare,*,*
LadyWill,*,*
LangfBeauty,*,*
LivelRasp,*,*
Longfield,*,*
M.sieversii,*,*
M_NY632,*,*
Malinda,*,*
Mavis,*,*
McIntosh,*,*
Mflor821,*,*
MN1702,*,*
MN1706,*,*
MN1802,*,*
Monark,*,*
Montgomery,*,*
NJ16-109,*,*
NorthSpy,*,*
NY247,*,*
NY543,*,*
NY66305-289,*,*
NY92607-16,*,*
OR38T610,*,*
P14-126,*,*
PCF-3-120,*,*
PitmPine,*,*
PRI54-12,*,*
Primula,*,*
RallsJan,*,*
RomBeauty,*,*
RussianSeedling,*,*
Sonora,*,*
Splendour,*,*
Starr,*,*
Tetofsky,*,*
Wagener,*,*
Wealthy,*,*
Winesap,*,*
WintBanana,*,*
WorcPearm,*,*
YellNewtown,*,*
YelTransp,*,*
Ambrosia,GoldenDel,Delicious
Beacon,Malinda,F_Beacon
Cameo,GoldenDel,Delicious
Clivia,DuchOlden,Cox
Cortland,McIntosh,BenDavis
CrippsPink,GoldenDel,LadyWill
Delblush,GoldenDel,BlushiGol
Delcorf,Jongrimes,GoldenDel
Empire,McIntosh,Delicious
F1_9433-2-2,RomBeauty,Mflor821
F1_9433-2-8,RomBeauty,Mflor821
Fireside,McIntosh,Longfield
Fuji,RallsJan,Delicious
GingerGold,GoldenDel,F_GingerGold
GMAL4327,M.sieversii,dummy1
GMAL4328,M.sieversii,dummy4
GMAL4329,M.sieversii,dummy3
GMAL4332,M.sieversii,dummy2
Haralson,Malinda,Wealthy
IngMarie,Cox,F_IngMarie
JamesGr,Cox,F_JamesGr
Jonathan,EsopSpitz,*
Keepsake,Frostbite,NorthSpy
KidsOrRed,Delicious,Cox
Linda,LangfBeauty,F_Linda
Lodi,Montgomery,YelTransp
M_Sunrise,McIntosh,GoldenDel
Macoun,McIntosh,JerseyBla
Mantet,Tetofsky,McIntosh
Melba,McIntosh,LivelRasp
MN1627,GoldenDel,DuchOlden
MN1628,Frostbite,NorthSpy
MN1636,GoldenDel,DuchOlden
MN1760,74-6-77,F_MN1760
MN1764,74-6-77,F_MN1764
NJ130o,Wealthy,Starr
NJ14,GoldenDel,Edgewood
NJ19237,GoldenDel,Edgewood
NJ31,RomBeauty,NorthSpy
NJ35934,RomBeauty,Mavis
