Name,Parent1,Parent2
CornellPop13,Sansa,GranSmith
Sansa,Gala,Akane
GranSmith,*,*
Gala,KidsOrRed,GoldenDel
Akane,Jonathan,WorcPearm
KidsOrRed,Delicious,Cox
GoldenDel,*,*
Jonathan,EsopSpitz,*
WorcPearm,*,*
Delicious,*,*
Cox,*,*
EsopSpitz,*,*
F1_9433-2-2,RomBeauty,Mflor821
RomBeauty,*,*
Mflor821,*,*
MN1955,Honeycrisp,GingerGold
Honeycrisp,Keepsake,F_Honeycrisp
GingerGold,GoldenDel,F_GingerGold
Keepsake,Frostbite,NorthSpy
F_Honeycrisp,*,*
F_GingerGold,*,*
Frostbite,*,*
NorthSpy,*,*
AE0234,Keepsake,AurGoldGa
AurGoldGa,Gala,Splendour
Splendour,*,*
Pop_HCxAr,Honeycrisp,Arlet
Arlet,GoldenDel,Idared
Idared,Jonathan,Wagener
Wagener,*,*
