P1,P2,Cross,Rep,Yield
1,1,1x1,1,104.86
1,1,1x1,2,84.32
1,1,1x1,3,76.92
1,1,1x1,4,76.48
1,2,1x2,1,88.66
1,2,1x2,2,105.04
1,2,1x2,3,80.8
1,2,1x2,4,73.54
1,3,1x3,1,109.76
1,3,1x3,2,78.22
1,3,1x3,3,74.52
1,3,1x3,4,99.52
1,4,1x4,1,128.1
1,4,1x4,2,123.84
1,4,1x4,3,92.56
1,4,1x4,4,115.28
1,5,1x5,1,128.36
1,5,1x5,2,119.84
1,5,1x5,3,103.24
1,5,1x5,4,129.72
1,6,1x6,1,74.4
1,6,1x6,2,70.86
1,6,1x6,3,60.94
1,6,1x6,4,68
1,7,1x7,1,91.82
1,7,1x7,2,99.18
1,7,1x7,3,118.88
1,7,1x7,4,120.68
1,8,1x8,1,48.08
1,8,1x8,2,62.1
1,8,1x8,3,58.54
1,8,1x8,4,41.84
2,2,2x2,1,88.02
2,2,2x2,2,106.52
2,2,2x2,3,89.82
2,2,2x2,4,108.68
2,3,2x3,1,110.16
2,3,2x3,2,116.26
2,3,2x3,3,99.76
2,3,2x3,4,120.12
2,4,2x4,1,101.26
2,4,2x4,2,80.22
2,4,2x4,3,82.84
2,4,2x4,4,88.36
2,5,2x5,1,91.52
2,5,2x5,2,113.96
2,5,2x5,3,87.26
2,5,2x5,4,106.98
2,6,2x6,1,59.06
2,6,2x6,2,65.62
2,6,2x6,3,81.62
2,6,2x6,4,86.76
2,7,2x7,1,84.16
2,7,2x7,2,109.74
2,7,2x7,3,102.14
2,7,2x7,4,94.52
2,8,2x8,1,96.92
2,8,2x8,2,91.44
2,8,2x8,3,79.86
2,8,2x8,4,74.38
3,3,3x3,1,77.94
3,3,3x3,2,71.34
3,3,3x3,3,77.52
3,3,3x3,4,69.48
3,4,3x4,1,111.44
3,4,3x4,2,119.96
3,4,3x4,3,84.76
3,4,3x4,4,86.42
3,5,3x5,1,96.88
3,5,3x5,2,100.86
3,5,3x5,3,86.88
3,5,3x5,4,92.52
3,6,3x6,1,109.86
3,6,3x6,2,98.16
3,6,3x6,3,93.26
3,6,3x6,4,102.26
3,7,3x7,1,117.2
3,7,3x7,2,100.28
3,7,3x7,3,116.16
3,7,3x7,4,112.52
3,8,3x8,1,109.68
3,8,3x8,2,116.48
3,8,3x8,3,123.92
3,8,3x8,4,120.86
4,4,4x4,1,80.82
4,4,4x4,2,106.54
4,4,4x4,3,83.28
4,4,4x4,4,95.92
4,5,4x5,1,86.2
4,5,4x5,2,76.36
4,5,4x5,3,79.06
4,5,4x5,4,99.52
4,6,4x6,1,103.14
4,6,4x6,2,109.66
4,6,4x6,3,90.98
4,6,4x6,4,119.4
4,7,4x7,1,53.4
4,7,4x7,2,60.86
4,7,4x7,3,74.46
4,7,4x7,4,69.08
4,8,4x8,1,53.86
4,8,4x8,2,48.3
4,8,4x8,3,40.64
4,8,4x8,4,44.62
5,5,5x5,1,59.96
5,5,5x5,2,52.48
5,5,5x5,3,52.98
5,5,5x5,4,50.98
5,6,5x6,1,98.46
5,6,5x6,2,73.1
5,6,5x6,3,89.18
5,6,5x6,4,75.86
5,7,5x7,1,81.36
5,7,5x7,2,72.82
5,7,5x7,3,89.82
5,7,5x7,4,83.74
5,8,5x8,1,86.62
5,8,5x8,2,94.18
5,8,5x8,3,90.32
5,8,5x8,4,108.16
6,6,6x6,1,96.44
6,6,6x6,2,98.82
6,6,6x6,3,99.14
6,6,6x6,4,107.16
6,7,6x7,1,140.5
6,7,6x7,2,125.96
6,7,6x7,3,113.02
6,7,6x7,4,106.96
6,8,6x8,1,55.08
6,8,6x8,2,52.88
6,8,6x8,3,42.92
6,8,6x8,4,64.08
7,7,7x7,1,91.44
7,7,7x7,2,99.66
7,7,7x7,3,89.46
7,7,7x7,4,83.28
7,8,7x8,1,116.28
7,8,7x8,2,129.5
7,8,7x8,3,142.84
7,8,7x8,4,112.46
8,8,8x8,1,91.78
8,8,8x8,2,84.82
8,8,8x8,3,69.92
8,8,8x8,4,81.48
