obs,block,type,dose,logdose,y
1,1,r,1,0,15.7
2,2,r,1,0,23.1
3,3,r,1,0,15.9
4,4,r,1,0,20.8
5,5,r,1,0,24.5
6,1,r,2,1,25.1
7,2,r,2,1,29.2
8,3,r,2,1,29.7
9,4,r,2,1,28.6
10,5,r,2,1,26.6
11,1,r,4,2,27.9
12,2,r,4,2,29.7
13,3,r,4,2,24
14,4,r,4,2,29.7
15,5,r,4,2,29.6
16,1,r,8,3,23.8
17,2,r,8,3,31.2
18,3,r,8,3,21.8
19,4,r,8,3,23.3
20,5,r,8,3,23.9
21,1,s,1,0,19.8
22,2,s,1,0,17.8
23,3,s,1,0,13.2
24,4,s,1,0,14.8
25,5,s,1,0,19.7
26,1,s,2,1,21.2
27,2,s,2,1,29.3
28,3,s,2,1,26
29,4,s,2,1,27.5
30,5,s,2,1,22
31,1,s,4,2,29.3
32,2,s,4,2,27.2
33,3,s,4,2,26
34,4,s,4,2,31.5
35,5,s,4,2,27.9
36,1,s,8,3,22.8
37,2,s,8,3,33
38,3,s,8,3,25.2
39,4,s,8,3,27.2
40,5,s,8,3,20.8
