Nitrogen,Management,V1_R1,V1_R2,V1_R3,V2_R1,V2_R2,V2_R3,V3_R1,V3_R2,V3_R3
N1,M1,3.32,3.864,4.507,6.101,5.122,4.815,5.355,5.536,5.244
N1,M2,3.766,4.311,4.875,5.096,4.873,4.166,7.442,6.462,5.584
N1,M3,4.66,5.915,5.4,6.573,5.495,4.225,7.018,8.02,7.642
N2,M1,3.188,4.752,4.756,5.595,6.78,5.39,6.706,6.546,7.092
N2,M2,3.625,4.809,5.295,6.357,5.925,5.163,8.592,7.646,7.212
N2,M3,5.232,5.17,6.046,7.016,7.442,4.478,8.48,9.942,8.714
N3,M1,5.468,5.788,4.422,5.442,5.988,6.509,8.452,6.698,8.65
N3,M2,5.759,6.13,5.308,6.398,6.533,6.569,8.662,8.526,8.514
N3,M3,6.215,7.106,6.318,6.953,6.914,7.991,9.112,9.14,9.32
N4,M1,4.246,4.842,4.863,6.209,6.768,5.779,8.042,7.414,6.902
N4,M2,5.255,5.742,5.345,6.992,7.856,6.164,9.08,9.016,7.778
N4,M3,6.829,5.869,6.011,7.565,7.626,7.362,9.66,8.966,9.128
N5,M1,3.132,4.375,4.678,6.86,6.894,6.573,9.314,8.508,8.032
N5,M2,5.389,4.315,5.896,6.857,6.974,7.422,9.224,9.68,9.294
N5,M3,5.217,5.389,7.309,7.254,7.812,8.95,10.36,9.896,9.712
