Rep,Block,Genotype,Yield
,,,
1,,,
,,,
,,,
1,1,45,53.115708576
1,1,34,52.535116074
1,1,8,51.252514443
1,1,17,50.583219721
1,1,42,58.212501974
1,2,22,57.017585406
1,2,39,59.706890954
1,2,26,58.461368187
1,2,31,54.453126955
1,2,4,56.853713645
,,,
,,,
1,3,5,56.375606241
1,3,28,60.238123155
1,3,25,56.498338321
1,3,14,54.541892683
1,3,29,56.499003866
1,4,36,60.56832228
1,4,24,55.293541433
1,4,44,61.827859923
1,4,38,57.596345521
1,4,3,53.271341135
,,,
,,,
1,5,12,54.357694768
1,5,43,61.173102531
1,5,33,59.659882419
1,5,48,60.027476768
1,5,21,55.400637458
1,6,27,58.216069063
1,6,50,65.806459078
1,6,23,55.608325106
1,6,15,57.051072297
1,6,46,62.333665172
,,,
,,,
1,7,10,53.913864428
1,7,32,57.376302425
1,7,37,59.610093891
1,7,11,56.773966109
1,7,47,64.607565749
1,8,7,53.995654442
1,8,30,53.996467716
1,8,41,56.97046546
1,8,9,52.874259548
1,8,16,55.584242347
,,,
,,,
1,9,49,64.785746021
1,9,1,56.807224995
1,9,19,57.127141429
1,9,20,52.609856568
1,9,13,59.410277057
1,10,2,49.182131443
1,10,18,56.04863395
1,10,6,45.00827012
1,10,40,56.024016682
1,10,35,60.920332933
,,,
2,,,
,,,
,,,
2,11,21,55.96525932
2,11,2,53.474340846
2,11,19,57.061647607
2,11,16,56.334727616
2,11,31,64.956376567
2,12,5,54.516646029
2,12,11,48.785827712
2,12,41,64.106787311
2,12,40,56.070189569
2,12,3,56.436680124
,,,
,,,
2,13,7,56.344502288
2,13,46,59.720556253
2,13,39,56.391762423
2,13,25,53.998398918
2,13,45,53.383303166
2,14,35,57.250910471
2,14,17,59.401223182
2,14,38,62.247949901
2,14,13,59.770909495
2,14,23,54.53672688
,,,
,,,
2,15,20,48.56000259
2,15,32,63.038972421
2,15,18,59.619153936
2,15,50,64.223955039
2,15,34,53.610671487
2,16,12,55.472831129
2,16,26,60.710205429
2,16,6,56.1425423
2,16,14,58.943953872
2,16,1,54.795470115
,,,
,,,
2,17,4,54.795591436
2,17,8,60.430657626
2,17,44,56.387851762
2,17,33,59.58986002
2,17,37,59.669512388
2,18,36,55.32804921
2,18,47,60.598264077
2,18,15,54.850192803
2,18,48,66.288379066
2,18,22,59.436155287
,,,
,,,
2,19,49,54.39396046
2,19,28,56.922002107
2,19,10,57.347941316
2,19,24,54.1391451
2,19,9,62.113070216
2,20,42,60.003587102
2,20,43,62.497677127
2,20,27,56.089848218
2,20,29,58.922314917
2,20,30,60.179844625
,,,
3,,,
,,,
,,,
3,21,25,63.600775566
3,21,48,63.68946502
3,21,35,63.094945137
3,21,9,55.438229542
3,21,32,57.989205174
3,22,31,62.531510223
3,22,50,61.083677642
3,22,3,56.733041984
3,22,42,67.734565473
3,22,14,56.640182561
,,,
,,,
3,23,26,57.3192792
3,23,49,64.163155164
3,23,41,62.31476222
3,23,23,57.855403742
3,23,33,68.063357702
3,24,17,56.671506816
3,24,12,57.114385052
3,24,16,55.504093428
3,24,19,54.186083871
3,24,46,64.773910234
,,,
,,,
3,25,13,56.969084085
3,25,6,52.855186194
3,25,7,48.219946625
3,25,15,59.988109874
3,25,37,58.947254063
3,26,19,59.156335264
3,26,18,59.059947019
3,26,8,55.467686145
3,26,36,58.512862805
3,26,29,60.768218269
,,,
,,,
3,27,22,64.813716672
3,27,28,64.289112765
3,27,40,57.73028991
3,27,34,61.388644062
3,27,21,61.123316651
3,28,2,51.335165333
3,28,47,63.954025707
3,28,43,61.712594481
3,28,45,64.931353965
3,28,24,60.321912248
,,,
,,,
3,29,5,51.733553716
3,29,38,65.406335992
3,29,30,65.33968088
3,29,4,60.912112423
3,29,20,60.58038562
3,30,39,63.293556966
3,30,27,60.718275041
3,30,44,64.918708023
3,30,11,51.216159031
3,30,1,54.519953776
